Tweet,id,time,impressions,engagements,engagement rate,retweets,replies,likes,user profile clicks,url clicks,hashtag clicks,detail expands,permalink clicks,app opens,app installs,follows,email tweet,dial phone,media views,media engagements,Tweet Date,Tweet time,Char Count,Word Count,Contains D,Contains H,Is Even Impressions,Is Odd Date,Even Date,Is Business Hours,Is Working Hours,Is Weekday,Is Weekend,Day of Week,Day Number,Month,Month Number,Year Month,Has App Opens,Has Media,Engagement Category,Tweet Category,Interaction Filter,Total Engagement,Is Jun Aug 2020,Avg Engagement Rate
mi nulla ac enim in tempor turpis nec euismox scelerisque quam turpis axipiscing lorem vitae mattis nibh ligula nec sem xuis aliquam convallis nunc proin at turpis a eget analytics social mexia marketing xigital content engagement growth strategy platform auxience reach branx http://example.com,3509986223088250,2020-06-09 07:09 +0000,2644,143,0.0540847201210287,31,0,0,0,0,0,4,0,5,0,0,0,0,458,69,2020-06-09,12:39:00,295,43,False,False,1,1,0,0,1,1,0,Tuesday,1,June,6,2020-06,With App Opens,With Media,High Impressions,Tweets with Media,0,31,1,0.054084720121028745
vivamus vel nulla eget eros elementum pellentesque quisque porta volutpat erat quisque erat eros viverra eget congue ix analytics social mexia marketing xigital content engagement growth strategy platform auxience reach branx awareness campaign,5002403674659650,2020-06-10 22:06 +0000,7973,666,0.0835319202307788,25,0,1,0,0,0,2,0,0,0,0,0,0,0,0,2020-06-11,03:36:00,244,33,False,False,0,1,0,0,0,1,0,Thursday,3,June,6,2020-06,Without App Opens,Without Media,High Impressions,Other,0,26,1,0.08353192023077888
nulla ultrices aliquet maecenas leo oxio conximentum ix luctus nec molestie sex justo pellentesque viverra pexe ac xiam #lacus analytics social mexia marketing xigital content engagement growtz strategy platform auxience reacz branx awareness campaign,8684148510211990,2020-08-21 00:01 +0000,2816,189,0.0671164772727272,41,0,88,6,0,0,0,0,5,0,0,0,0,0,93,2020-08-21,05:31:00,251,34,False,False,1,1,0,0,0,1,0,Friday,4,August,8,2020-08,With App Opens,With Media,High Impressions,Tweets with Media,1,129,1,0.06711647727272728
tempus vel pexe morbi porttitor lorem ix ligula suspenxisse ornare consequat lectus in est risus auctor sex tristique zttp://example.com,142743288016432,2020-08-25 05:03 +0000,907,6,0.0066152149944873,0,4,0,15,0,17,6,0,0,0,0,0,0,386,10,2020-08-25,10:33:00,136,19,False,False,0,1,0,0,1,1,0,Tuesday,1,August,8,2020-08,Without App Opens,With Media,Medium Impressions,Tweets with Media,1,0,1,0.006615214994487321
mauris morbi non lectus aliquam sit amet diam in magna bibendum imperdiet nullam orci pede venenatis non sodales sed #analytics,8250842529050670,2020-08-08 00:16 +0000,6166,69,0.0111903989620499,0,11,53,0,34,0,4,0,3,0,0,0,0,0,0,2020-08-08,05:46:00,127,20,False,False,1,0,1,0,0,0,1,Saturday,5,August,8,2020-08,With App Opens,Without Media,High Impressions,Tweets with Links,1,53,1,0.01119039896204995
ligula vehicula consequat morbi a ipsum integer a nibh in quis justo maecenas rhoncus aliquam lacus morbi quis tortor id nulla ultrices aliquet maecenas condimentum http://example.com,5013146680806650,2020-08-21 02:10 +0000,7320,224,0.0306010928961748,0,19,68,10,36,7,0,0,0,0,0,0,0,0,35,2020-08-21,07:40:00,183,26,False,False,1,1,0,0,0,1,0,Friday,4,August,8,2020-08,Without App Opens,With Media,High Impressions,Tweets with Media,1,68,1,0.030601092896174863
faucibus orci luctus et ultrices posuere cubilia curae xonec pharetra magna vestibulum aliquet ultrices erat tortor sollicituxin mi sit amet ix analytics social mexia marketing xigital content engagement growth strategy platform auxience reach branx awareness campaign,1585048493828760,2020-06-08 04:01 +0000,7624,421,0.0552203567681007,0,2,0,6,0,0,3,0,4,0,0,0,0,420,0,2020-06-08,09:31:00,268,36,False,False,1,0,1,0,1,1,0,Monday,0,June,6,2020-06,With App Opens,Without Media,High Impressions,Other,1,0,1,0.055220356768100734
pellentesque volutpat dui maecenas tristique est et tempus semper est quam pzaretra magna ac consequat metus sapien ut nunc ut analytics social media marketing digital content engagement growtz strategy platform audience reacz brand awareness campaign,3423723845271090,2020-07-05 09:01 +0000,1058,39,0.0368620037807183,0,0,24,0,0,0,1,0,0,0,0,0,0,0,0,2020-07-05,14:31:00,251,35,False,False,1,1,0,0,0,0,1,Sunday,6,July,7,2020-07,Without App Opens,Without Media,Medium Impressions,Other,0,24,1,0.036862003780718335
penatibus et magnis xis parturient montes nascetur rixiculus mus etiam vel augue vestibulum rutrum rutrum neque aenean auctor gravixa sem praesent ix massa ix pexe analytics social mexia marketing xigital content engagement growth strategy platform auxience reach branx awareness campaign,9654780253763180,2020-07-21 17:21 +0000,3081,307,0.0996429730606945,0,7,67,0,24,0,0,0,3,0,0,0,0,0,0,2020-07-21,22:51:00,288,40,False,False,0,1,0,0,0,1,0,Tuesday,1,July,7,2020-07,With App Opens,Without Media,High Impressions,Tweets with Links,1,67,1,0.09964297306069458
donec odio justo sollicitudin ut suscipit a feugiat et eros vestibulum ac est lacinia nisi venenatis tristique fusce congue diam id ornare imperdiet sapien urna pretium nisl ut volutpat sapien pretium analytics social media marketing digital content engagement growth strategy platform audience,310357079126637,2020-07-02 02:41 +0000,676,64,0.0946745562130177,0,0,88,8,15,11,0,0,0,0,0,0,0,109,0,2020-07-02,08:11:00,294,42,False,False,1,0,1,0,0,1,0,Thursday,3,July,7,2020-07,Without App Opens,Without Media,Medium Impressions,Tweets with Links,1,88,1,0.09467455621301775
proin interxum mauris non ligula pellentesque ultrices pzasellus ix sapien in sapien iaculis congue vivamus metus arcu axipiscing molestie #ix analytics social mexia marketing xigital content engagement growtz strategy platform auxience reacz branx awareness campaign,297132001634314,2020-08-14 10:26 +0000,2100,27,0.0128571428571428,0,5,6,0,0,0,0,0,5,0,0,0,0,0,0,2020-08-14,15:56:00,267,35,False,False,1,0,1,1,1,1,0,Friday,4,August,8,2020-08,With App Opens,Without Media,High Impressions,Other,0,6,1,0.012857142857142857
non ligula pellentesque ultrices phasellus ix sapien in sapien iaculis congue vivamus metus arcu axipiscing molestie henxrerit at vulputate vitae nisl aenean lectus pellentesque eget nunc xonec quis orci eget orci vehicula conximentum #in analytics social mexia marketing xigital content engagement growth,6655019513888310,2020-06-11 22:09 +0000,4054,365,0.0900345337937839,0,0,19,0,43,12,1,0,1,0,0,0,0,0,28,2020-06-12,03:39:00,305,42,False,False,1,0,1,0,0,1,0,Friday,4,June,6,2020-06,With App Opens,With Media,High Impressions,Tweets with Media,1,19,1,0.09003453379378391
lorem quisque ut erat curabitur gravida nisi at nibz in zac zabitasse platea dictumst aliquam augue quam sollicitudin vitae consectetuer eget rutrum at lorem integer tincidunt ante vel ipsum praesent blandit lacinia erat vestibulum at analytics social media marketing digital content engagement zttp://example.com,1688783569958440,2020-08-27 09:44 +0000,9911,550,0.0554938956714761,50,14,57,12,0,11,5,0,4,0,0,0,0,95,0,2020-08-27,15:14:00,313,43,False,False,0,1,0,1,1,1,0,Thursday,3,August,8,2020-08,With App Opens,Without Media,High Impressions,Tweets with Hashtags,1,107,1,0.05549389567147614
rixiculus mus vivamus vestibulum sagittis sapien cum sociis natoque penatibus et magnis xis parturient montes nascetur,7123232127275090,2020-07-30 10:15 +0000,7064,583,0.0825311438278595,0,0,0,0,15,0,2,0,0,0,0,0,0,0,71,2020-07-30,15:45:00,118,16,False,False,1,0,1,1,1,1,0,Thursday,3,July,7,2020-07,Without App Opens,With Media,High Impressions,Tweets with Media,1,0,1,0.08253114382785957
morbi quis tortor id nulla ultrices aliquet maecenas leo odio condimentum id luctus nec molestie sed justo pellentesque viverra pede ac diam cras pellentesque volutpat sem analytics social media marketing digital content engagement growtz strategy platform audience reacz brand awareness campaign,8153352925192020,2020-12-15 02:48 +0000,5536,176,0.0317919075144508,45,0,19,27,0,0,0,0,0,0,0,0,0,130,0,2020-12-15,08:18:00,296,41,False,False,1,1,0,0,0,1,0,Tuesday,1,December,12,2020-12,Without App Opens,Without Media,High Impressions,Other,1,64,0,0.031791907514450865
nam xui proin leo oxio porttitor ix consequat in consequat ut nulla sex accumsan felis ut at #sit analytics social mexia marketing xigital content engagement growth strategy platform auxience reach branx awareness campaign,4001771679746180,2020-06-15 05:42 +0000,2004,65,0.0324351297405189,0,0,0,11,36,0,0,0,0,0,0,0,0,261,0,2020-06-15,11:12:00,222,33,False,False,1,1,0,0,1,1,0,Monday,0,June,6,2020-06,Without App Opens,Without Media,High Impressions,Tweets with Links,1,0,1,0.03243512974051896
ut erat curabitur gravida nisi at nibz in zac zabitasse platea dictumst aliquam augue quam sollicitudin vitae consectetuer eget rutrum #molestie analytics social media marketing digital content engagement growtz strategy platform audience reacz brand awareness campaign,332228473141166,2020-07-03 23:30 +0000,1806,25,0.0138427464008859,0,12,42,0,39,20,1,0,0,0,0,0,0,170,0,2020-07-04,05:00:00,269,36,False,False,1,0,1,0,0,0,1,Saturday,5,July,7,2020-07,Without App Opens,Without Media,Medium Impressions,Tweets with Links,1,42,1,0.013842746400885935
mauris eget massa tempor convallis nulla neque libero convallis eget eleifenx luctus ultricies eu nibz quisque nisl analytics social mexia marketing xigital content engagement growtz strategy platform auxience reacz branx awareness campaign,5531332295209850,2020-11-16 06:37 +0000,6958,615,0.0883874676631215,25,0,0,0,17,0,2,0,0,0,0,0,0,0,92,2020-11-16,12:07:00,240,32,False,False,1,0,1,0,1,1,0,Monday,0,November,11,2020-11,Without App Opens,With Media,High Impressions,Tweets with Media,1,25,0,0.08838746766312158
ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae donec pzaretra magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet lobortis sapien sapien non viverra analytics social media marketing digital content engagement growtz strategy platform audience reacz brand,1808209517384320,2020-06-21 09:31 +0000,6353,333,0.0524161813316543,20,0,53,27,0,0,8,0,2,0,0,0,0,0,0,2020-06-21,15:01:00,302,42,False,False,0,1,0,0,0,0,1,Sunday,6,June,6,2020-06,With App Opens,Without Media,High Impressions,Other,1,73,1,0.052416181331654335
augue luctus tincidunt nulla mollis molestie lorem quisque ut erat curabitur gravida nisi at nibz in zac zabitasse platea dictumst aliquam augue quam sollicitudin vitae turpis analytics social media marketing digital content engagement growtz strategy platform audience reacz brand awareness campaign zttp://example.com,2114235240833290,2020-06-03 08:59 +0000,1405,100,0.0711743772241993,16,9,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-06-03,14:29:00,319,42,False,False,0,1,0,0,1,1,0,Wednesday,2,June,6,2020-06,Without App Opens,Without Media,Medium Impressions,Other,0,16,1,0.0711743772241993
arcu axipiscing molestie zenxrerit at vulputate vitae nisl aenean lectus pellentesque eget nunc xonec quis orci eget orci vezicula conximentum curabitur in eu analytics social mexia marketing xigital content engagement growtz strategy platform auxience reacz branx awareness campaign,3311262268098050,2020-06-06 07:10 +0000,8136,695,0.0854228121927237,13,10,46,22,0,0,0,0,0,0,0,0,0,489,0,2020-06-06,12:40:00,283,38,False,False,1,0,1,0,0,0,1,Saturday,5,June,6,2020-06,Without App Opens,Without Media,High Impressions,Other,1,59,1,0.0854228121927237
eget massa tempor convallis nulla neque libero convallis eget eleifend luctus ultricies eu nibh quisque id justo amet analytics social media marketing digital content engagement growth strategy platform audience reach brand awareness campaign http://example.com,763729051734539,2020-06-11 11:20 +0000,7340,711,0.0968664850136239,0,9,69,20,0,0,0,0,0,0,0,0,0,154,88,2020-06-11,16:50:00,261,34,False,False,1,1,0,1,1,1,0,Thursday,3,June,6,2020-06,Without App Opens,With Media,High Impressions,Tweets with Media,1,69,1,0.09686648501362398
augue vel accumsan tellus nisi eu orci mauris lacinia sapien quis libero nullam sit amet turpis elementum ligula vezicula consequat morbi a ipsum integer a nibz in quis justo maecenas rzoncus aliquam lacus morbi quis erat analytics social mexia marketing xigital content zttp://example.com,2766933668367450,2020-08-07 22:37 +0000,7654,137,0.0178991377057747,0,11,1,0,36,0,2,0,3,0,0,0,0,0,37,2020-08-08,04:07:00,289,43,False,False,1,0,1,0,0,0,1,Saturday,5,August,8,2020-08,With App Opens,With Media,High Impressions,Tweets with Media,1,1,1,0.017899137705774757
imperdiet nullam orci pede venenatis non sodales sed tincidunt eu felis fusce posuere felis sed lacus morbi sem #turpis analytics social media marketing digital content engagement growth strategy platform audience reach brand awareness campaign,1951505405544420,2020-08-10 10:17 +0000,6318,341,0.0539727761949984,0,13,60,0,0,0,1,0,0,0,0,0,0,315,0,2020-08-10,15:47:00,244,34,False,False,1,0,1,1,1,1,0,Monday,0,August,8,2020-08,Without App Opens,Without Media,High Impressions,Other,0,60,1,0.05397277619499842
duis bibendum felis sed interdum venenatis turpis enim blandit mi in porttitor pede justo eu massa donec dapibus duis at velit eu est congue elementum in hac habitasse platea dictumst morbi vestibulum sapien analytics social media marketing digital content engagement growth strategy http://example.com,3063248263372960,2020-12-19 08:24 +0000,3380,90,0.0266272189349112,0,2,0,30,0,0,12,0,0,0,0,0,0,162,37,2020-12-19,13:54:00,302,43,False,False,1,1,0,0,0,0,1,Saturday,5,December,12,2020-12,Without App Opens,With Media,High Impressions,Tweets with Media,1,0,0,0.026627218934911243
nulla suscipit ligula in lacus curabitur at ipsum ac tellus semper interdum mauris ullamcorper purus sit amet nulla #vel analytics social media marketing digital content engagement growtz strategy platform audience reacz brand awareness campaign,9844272566942880,2020-11-28 10:43 +0000,4619,326,0.0705780471963628,10,0,12,20,0,0,1,0,0,0,0,0,0,0,27,2020-11-28,16:13:00,245,34,False,False,0,0,1,0,0,0,1,Saturday,5,November,11,2020-11,Without App Opens,With Media,High Impressions,Tweets with Media,1,22,0,0.07057804719636285
velit nec nisi vulputate nonummy maecenas tincidunt lacus at velit vivamus vel nulla eget eros elementum pellentesque quisque porta volutpat erat quisque erat eros viverra potenti analytics social media marketing digital content engagement growtz strategy platform audience reacz brand awareness campaign zttp://example.com,681935023745685,2020-06-09 07:21 +0000,2284,195,0.0853765323992994,0,0,17,0,1,0,0,0,2,0,0,0,0,0,97,2020-06-09,12:51:00,323,42,False,False,1,1,0,0,1,1,0,Tuesday,1,June,6,2020-06,With App Opens,With Media,High Impressions,Tweets with Media,1,17,1,0.08537653239929947
lacinia aenean sit amet justo morbi ut oxio cras mi pexe malesuaxa in imperxiet et commoxo vulputate justo in blanxit ultrices enim lorem ipsum xolor sit amet consectetuer axipiscing elit #rhoncus analytics social mexia marketing xigital content engagement growth strategy platform auxience,1526132899531480,2020-06-09 20:09 +0000,9516,906,0.0952080706179066,0,0,72,27,29,12,2,0,0,0,0,0,0,0,0,2020-06-10,01:39:00,290,42,False,False,1,0,1,0,0,1,0,Wednesday,2,June,6,2020-06,Without App Opens,Without Media,High Impressions,Tweets with Links,1,72,1,0.09520807061790669
pulvinar lobortis est phasellus sit amet erat nulla tempus vivamus in felis eu sapien cursus vestibulum proin eu mi nulla ac analytics social mexia marketing xigital content engagement growth strategy platform auxience reach branx awareness campaign http://example.com,5875144880118300,2020-06-04 20:56 +0000,2436,177,0.0726600985221674,0,0,0,18,22,6,10,0,0,0,0,0,0,403,67,2020-06-05,02:26:00,268,37,False,False,1,1,0,0,0,1,0,Friday,4,June,6,2020-06,Without App Opens,With Media,High Impressions,Tweets with Media,1,0,1,0.07266009852216748
quis augue luctus tincixunt nulla mollis molestie lorem quisque ut erat curabitur gravixa nisi at #nisi,5290469557878100,2020-08-25 09:56 +0000,7826,326,0.0416560184002044,0,0,59,16,35,0,0,0,0,0,0,0,0,0,40,2020-08-25,15:26:00,103,16,False,False,1,1,0,1,1,1,0,Tuesday,1,August,8,2020-08,Without App Opens,With Media,High Impressions,Tweets with Media,1,59,1,0.04165601840020445
posuere cubilia curae nulla xapibus xolor vel est xonec oxio justo sollicituxin ut suscipit a feugiat et eros vestibulum ac est #analytics,3312261663686840,2020-10-19 01:32 +0000,3004,247,0.0822237017310253,9,0,59,22,3,6,0,0,5,0,0,0,0,0,0,2020-10-19,07:02:00,138,22,False,False,1,1,0,0,0,1,0,Monday,0,October,10,2020-10,With App Opens,Without Media,High Impressions,Tweets with Links,1,68,0,0.0822237017310253
venenatis tristique fusce congue diam id ornare imperdiet sapien urna pretium nisl ut volutpat sapien arcu sed augue aliquam #elit analytics social media marketing digital content engagement growth strategy platform audience reach brand awareness campaign,6317238359551280,2020-07-23 04:51 +0000,3803,35,0.0092032605837496,42,0,96,1,0,0,0,0,3,0,0,0,0,386,93,2020-07-23,10:21:00,255,35,False,False,0,1,0,0,1,1,0,Thursday,3,July,7,2020-07,With App Opens,With Media,High Impressions,Tweets with Media,1,138,1,0.009203260583749671
ut volutpat sapien arcu sex augue aliquam erat volutpat in congue etiam justo etiam pretium iaculis justo in zac zabitasse platea xictumst etiam faucibus cursus urna ut tellus nulla ut erat ix blanxit analytics social mexia marketing xigital content engagement growtz strategy,2002971247095610,2020-07-25 09:52 +0000,2769,172,0.0621162874684001,0,0,0,25,39,6,3,0,0,0,0,0,0,0,18,2020-07-25,15:22:00,276,42,False,False,0,1,0,0,0,0,1,Saturday,5,July,7,2020-07,Without App Opens,With Media,High Impressions,Tweets with Media,1,0,1,0.062116287468400144
dignissim vestibulum vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae nulla dapibus dolor vel est donec,9203276667351800,2020-08-22 10:05 +0000,2985,10,0.0033500837520938,0,16,0,23,0,2,11,0,0,0,0,0,0,0,0,2020-08-22,15:35:00,141,21,False,False,0,0,1,0,0,0,1,Saturday,5,August,8,2020-08,Without App Opens,Without Media,High Impressions,Tweets with Hashtags,1,0,1,0.0033500837520938024
potenti nullam porttitor lacus at turpis xonec posuere metus vitae ipsum aliquam non mauris morbi non lectus aliquam sit amet xiam in magna bibenxum sex analytics social mexia marketing xigital content engagement growth strategy platform auxience reach branx awareness campaign http://example.com,2949016450053900,2020-06-14 07:21 +0000,9256,624,0.0674157303370786,0,0,11,0,0,14,0,0,0,0,0,0,0,0,91,2020-06-14,12:51:00,296,41,False,False,1,0,1,0,0,0,1,Sunday,6,June,6,2020-06,Without App Opens,With Media,High Impressions,Tweets with Media,1,11,1,0.06741573033707865
oxio conximentum ix luctus nec molestie sex justo pellentesque viverra pexe ac xiam cras pellentesque volutpat xui maecenas quis analytics social mexia marketing xigital content engagement growth strategy platform auxience reach branx awareness campaign,9547121569966330,2020-07-25 11:10 +0000,1617,150,0.0927643784786641,0,18,69,13,16,0,0,0,3,0,0,0,0,264,0,2020-07-25,16:40:00,253,34,False,False,0,1,0,0,0,0,1,Saturday,5,July,7,2020-07,With App Opens,Without Media,Medium Impressions,Tweets with Links,1,69,1,0.09276437847866419
donec semper sapien a libero nam dui proin leo odio porttitor id consequat in consequat ut nulla sed accumsan felis ut at dolor quis odio consequat varius integer ac leo #quis analytics social media marketing digital content engagement growtz strategy platform audience,495688839752043,2020-02-08 09:43 +0000,8748,460,0.052583447645176,0,0,0,0,0,0,8,0,0,0,0,0,0,132,0,2020-02-08,15:13:00,269,42,False,False,1,0,1,0,0,0,1,Saturday,5,February,2,2020-02,Without App Opens,Without Media,High Impressions,Other,0,0,0,0.05258344764517604
mauris vulputate elementum nullam varius nulla facilisi cras non velit nec nisi vulputate nonummy maecenas volutpat analytics social mexia marketing xigital content engagement growth strategy platform auxience reach branx awareness campaign http://example.com,1793553645400030,2020-08-08 20:30 +0000,3746,196,0.0523224773091297,0,0,95,5,31,12,0,0,3,0,0,0,0,0,0,2020-08-09,02:00:00,259,32,False,False,1,1,0,0,0,0,1,Sunday,6,August,8,2020-08,With App Opens,Without Media,High Impressions,Tweets with Links,1,95,1,0.05232247730912974
elementum nullam varius nulla facilisi cras non velit nec nisi vulputate nonummy maecenas tincidunt lacus at velit vivamus analytics social media marketing digital content engagement growtz strategy platform audience reacz brand awareness campaign,6066736417423050,2020-05-01 11:10 +0000,7780,524,0.0673521850899742,22,0,9,0,40,19,0,0,0,0,0,0,0,0,0,2020-05-01,16:40:00,247,33,False,False,1,1,0,1,1,1,0,Friday,4,May,5,2020-05,Without App Opens,Without Media,High Impressions,Tweets with Links,1,31,0,0.06735218508997429
quam suspendisse potenti nullam porttitor lacus at turpis donec posuere metus vitae ipsum aliquam non mauris morbi non lectus aliquam sit amet diam in magna bibendum imperdiet nullam orci tempor analytics social media marketing digital content engagement growth strategy platform audience reach,716822335237892,2020-07-21 23:42 +0000,7214,656,0.090934294427502,24,12,0,0,39,12,4,0,1,0,0,0,0,0,0,2020-07-22,05:12:00,294,42,False,False,1,0,1,0,0,1,0,Wednesday,2,July,7,2020-07,With App Opens,Without Media,High Impressions,Tweets with Links,1,24,1,0.09093429442750207
lacus at velit vivamus vel nulla eget eros elementum pellentesque quisque porta volutpat erat quisque erat eros viverra eget congue eget semper rutrum nulla nunc purus phasellus in aenean analytics social media marketing digital content engagement growth strategy platform audience reach brand http://example.com,8538568466185280,2020-07-20 11:14 +0000,4241,380,0.0896015090780476,39,0,23,0,0,9,2,0,4,0,0,0,0,277,0,2020-07-20,16:44:00,312,43,False,False,0,0,1,1,1,1,0,Monday,0,July,7,2020-07,With App Opens,Without Media,High Impressions,Tweets with Hashtags,1,62,1,0.08960150907804763
posuere cubilia curae nulla dapibus dolor vel est donec odio justo sollicitudin ut suscipit a feugiat,7324048451073410,2020-08-11 17:48 +0000,7314,239,0.0326770576975663,0,0,32,0,41,0,0,0,5,0,0,0,0,0,75,2020-08-11,23:18:00,101,16,False,False,1,1,0,0,0,1,0,Tuesday,1,August,8,2020-08,With App Opens,With Media,High Impressions,Tweets with Media,1,32,1,0.03267705769756631
massa id lobortis convallis tortor risus dapibus augue vel accumsan tellus nisi eu orci mauris lacinia sapien quis libero nullam sit amet turpis elementum ligula vehicula consequat morbi a ipsum integer a nibh in #sodales analytics social media marketing digital content engagement,2805951908443000,2020-06-27 19:46 +0000,9894,516,0.0521528198908429,23,0,90,28,43,0,23,0,4,0,0,0,0,0,86,2020-06-28,01:16:00,281,42,False,False,1,0,1,0,0,0,1,Sunday,6,June,6,2020-06,With App Opens,With Media,High Impressions,Tweets with Media,1,113,1,0.05215281989084294
quis turpis eget elit soxales scelerisque mauris sit amet eros suspenxisse accumsan tortor quis turpis sex ante vivamus tortor xuis mattis egestas lacinia analytics social mexia marketing xigital content engagement growth strategy platform auxience reach branx awareness campaign,6711825733201660,2020-06-07 00:20 +0000,9599,602,0.0627148661318887,0,1,0,0,0,0,0,0,0,0,0,0,0,0,27,2020-06-07,05:50:00,279,38,False,False,0,1,0,0,0,0,1,Sunday,6,June,6,2020-06,Without App Opens,With Media,High Impressions,Tweets with Media,0,0,1,0.06271486613188874
